conference_acronym	conference_name	conference_location
DyNetMM 2013 	 First SIGMOD/PODS Workshop on Dynamic Networks Management and Mining	New York, USA
VLDB 2013 	 International Conference on Very Large Data Bases	Lago Di Garda, Trento, Italy
SSTD 2013 	 13th International Symposium on Spatial and Temporal Databases	Munich, Germany
miproBIS 2013 	 Business Intelligence Systems 	Opatija, Croatia
DILS 2013 	 The Ninth International Conference on Data Integration in the Life Sciences 2013	Montreal, Quebec, Canada
iCICS 2013 	 The 4th International Conference on Information and Communication Systems	Irbid, Jordan
BNCOD 2013 	 29th British National Conference on Databases	University of Oxford, United Kingdom
AMW 2013 	 The 7th Alberto Mendelzon International Workshop on Foundations of Data Management	Puebla/Cholula, Mexico
ICWS 2013 	 IEEE 20th International Conference on Web Services 	Santa Clara, CA, USA
SYRCoDIS 2013 	 The Ninth Spring Researchers Colloquium on Databases and Information Systems 2013	Kazan, Russia
DMC 2013 at BTW 2013 	 1st Workshop on Data Management in the Cloud	Magdeburg, Germany
BDAS 2013 	 IX Konferencja Naukowa Bazy Danych - Aplikacje i Systemy	Ustron, Poland
PAIS 2013 	 6th International Workshop on Privacy and Anonymity in the Information Society	Genoa, Italy
DaMEN 2013 	 The Second International Workshop on Data Management for Emerging Network Infrastructure	Sydney, Australia
GraphQ 2013 	 The Second International Workshop on Querying Graph Structured Data	Genoa, Italy
EnDM@EDBT 2013 	 Workshop on Energy Data Management	Genoa, Italy
EnDM 2013 	 Workshop on Energy Data Management at EDBT	Genoa, Italy
BEWEB 2013 	 4th International Workshop on Business IntelligencE and the Web	Genoa, Italy
BIGProv 2013 	 International Workshop on Managing and Querying Provenance Data at Scale	Genova, Italy
PODS 2013 	 32nd ACM SIGMOD-SIGACT-SIGART Symposium on Principles Of Database Systems	New York, New York, USA
DNIS 2013 	 8th International Workshop on Databases in Networked Information Systems	University of Aizu, Aizu-Wakamatsu, Japan
BDI 2013 	 International Symposium on Biomedical Data infrastructure	Kuala Lumpur, Malaysia
SMDB 2013 	 8th International Workshop on Self-Managing Database Systems	Brisbane, Australia
SIGMOD 2013 	 ACM SIGMOD International Conference on Management of Data	New York
SIPIJ 2012 	 Signal & Image Processing : An International Journal	N/A
ACIIDS 2013 	 Special Session on Intelligent Recommended Systems	Kuala Lumpur, Malaysia
DASFAA 2013 	 The 18th International Conference on Database Systems for Advanced Applications	Wuhan, China
PrivDB 2013 	 First International Workshop on Privacy-Preserving Data Publication and Analysis	Brisbane, Australia
CICCI 2013 	 2nd International Conference on Informatics and Computer Sciences	La Habana, Cuba
EDBT 2013 	 International Conference on Extending Database Technology	Genoa, Italy
DBDBD 2012 	 The Dutch Belgian Database Day	Brussels, Belgium
GDM 2013 	 The 4th International Workshop on Graph Data Management: Techniques and Applications	Brisbane, Australia
ASIIS (ACM SAC) 2013 	 ACM SAC - Track on ADVANCES IN SPATIAL AND IMAGE-BASED INFORMATION SYSTEMS (ASIIS 13)	Coimbra, Portugal
ACM - DTTA Track 2013 	 ACM Scientific Applications Conference - Database Theory, Technology and Applications Track 	Coimbra, Portugal
NetSys PhD Forum 2013 	 The Conference on Networked Systems PhD Forum	Stuttgart, Germany
PDAC 2012 	 3rd International Workshop on Petascale Data Analytics: Challenges and Opportunities	Salt Lake City, Utah, USA
ICDT 2013 	 16th International Conference on Database Theory	Genoa, Italy
COMAD 2012 	 18th International Conference on Management of Data	Pune, India
CIDR 2013 	 6th BIENNIAL CONFERENCE ON INNOVATIVE DATA SYSTEMS RESEARCH	Asilomar, California
CSE 2012 	 The 15th IEEE International Conference on Computational Science and Engineering	Paphos, Cyprus
C-Big 2012 	 International Workshop on Collaborative Big Data	Pittsburgh, PA, USA
CDMW 2012 	 City Data Management Workshop 2012 in conj. with CIKM 2012	Maui, Hawaii USA
ICDE 2013 	 29TH INTERNATIONAL CONFERENCE ON DATA ENGINEERING	 Brisbane, Australia
Oriental COCOSDA 2012 	 International Conference on Speech Database and Assessments	Macau, China
INTECH  2012 	 The Second International  Conference on Innovative Computing Technology 	Rabat
ICE-B 2012 	 International Conference on e-Business	Rome, Italy
CloudDB 2012 	 The Fourth International Workshop on Cloud Data Management	Maui, Hawaii, USA
WISE 2012 	 The 13th International Conference on Web Information System Engineering	Paphos, Cyprus
CIKM Posters 2012 	 Posters: 21st ACM International Conference on Information and Knowledge Management	Maui, USA
SoDAC 2012 	 INNS Symposium on Data Analytics and Competitions	Bangkok, Thailand
SOCC 2012 	 ACM Symposium on Cloud Computing 	San Jose, CA
BIRTE 2012 	 VLDB12 Workshop on Real-Time Business Intelligence	Istanbul, Turkey
BIGDATA 2012 	 Workshop on End-to-End Management of Big Data	Istanbul, Turkey
NISTBigData 2012 	 NIST Big Data Workshop	Gaithersburg, MD USA
QDB 2012 	 10th International Workshop on Quality in DataBases	Istanbul, Turkey
SBBD 2012 	 27th Brazilian Symposium on Database	São Paulo, Brazil
IASIM 2012 	 Special Session on Intelligent Agents & Simulation	Rome, Italy
ECAI AIL 2012 	 Workshop on Active and Incremental Learning	Montpellier, France
CIKM 2012 	 21st ACM International Conference on Information and Knowledge Management	Maui, USA
CIKM 2012 	 21st ACM International Conference on Information and Knowledge Management	Maui, U.S.A
SDM 2012 	 9th VLDB Workshop on Secure Data Management	Istanbul, Turkey
EDB 2012 	 The fourth International Conference on Emerging Databases - Technologies, Applications, and Theory	Seoul, Korea
SOMOCO 2012 	 International Workshop on SOcial and MObile COmputing for collaborative environments	Rome, Italy
IDEAS  2012 	 16th International Database Engineering & Applications Symposium	Prague,
PersDB 2012 	 Sixth International Workshop on Personalized Access, Profile Management, and Context Awareness in Databases	Istanbul, Turkey
MDDE 2012 	 The First International Workshop on Multimedia Databases and Data Engineering	Istanbul, Turkey
DBRank 2012 	 Sixth International Workshop on Ranking in Databases	Instabul, Turkey
MCSD 2012 	  Mining Complex and Stream Data, MCSD 12	Poznan, Poland
MDSP 2012 	 The 1st International Workshop on Massive Data Storage and Processing	Harbin, China
NIMD 2012 	 Networking Implantable Medical Devices	Rome, Italy
ECDM 2012 	 Sixth International Workshop On Evolution And Change In Data Management	Florence, Italy
SUM 2012 	 Sixth International Conference on Scalable Uncertainty Management	Marburg, Germany
JISBD 2012 	 XVII Jornadas de Ingeniería del Software y Bases de Datos	Almería, Spain
XMLDM 2012 	 The Third International Workshop on XML Data Management	Harbin, China
CISIM 2012 	 11th International Conference on Computer Information Systems and Industrial Management Applications	Venice, Italy
DATA 2012 	 International Conference on Data Technologies and Applications	Rome, Italy
DBLM 2012 	 International Workshop on Database Technology for Life Sciences and Medicine	Vienna, Austria
DIM 2012 	 IEEE International Workshop on Data Integration and Mining	Las Vegas, Nevada, USA
MEDI 2012 	 2nd International Conference On Model and Data Engineering	Poitiers, Futuroscope, France
HDMS 2012 	 2012 The Hellenic Data Management Symposium	Chania, Crete, Greece
MORE-BI 2012 	 2nd Int. Workshop on Modeling and Reasoning for Business Intelligence (MORE-BI 2012) at ER 2012	Florence, Italy
SEBD 2012 	 20th Italian Symposium on Advanced Database Systems	Venice, Italy
DaWaK 2012 	 14th International Conference on Data Warehousing and Knowledge Discovery	Vienna, Austria
SISAP 2012 	 5th International Conference on Similarity Search and Applications	Toronto, Canada
RSmeetDB 2012 	 2nd Workshop on Recommender Systems meet Databases	Vienna, Austria
BalticDB&IS 2012 	 10th International Baltic Conference on Data Bases and Information Systems	Vilnius, Lithuania
SYRCoDIS 2012 	 The Eighth Spring Researchers Colloquium on Databases and Information Systems	Moscow, Russia
DBSocial 2012 	 Second ACM SIGMOD Workshop on Databases and Social Networks	Scottsdale, AZ, United States
DBTest 2012 	 Fifth International Workshop on Testing Database Systems	Scottsdale, Arizona, USA
WebDB 2012 	 15th International Workshop on the Web and Databases	Scottsdale, AZ, USA
WOD  2012 	  First International Workshop on Open Data (DEADLINE EXTENDED to MARCH 8th)	Nantes, France
WOD 2012 	 First International Workshop on Open Data	Nantes, France
AMW 2012 	 6th ALBERTO MENDELZON INTERNATIONAL WORKSHOP ON FOUNDATIONS OF DATA MANAGEMENT	Ouro Preto, Brazil
DCNET 2012 	 International Conference on Data Communication Networking (DCNET)	Rome, Italy
DCNET 2012 	 International Conference on Data Communication Networking	Rome, Italy
BalticDB&IS 2012 	 10th International Baltic Conference on Data Bases and Information Systems	Vilnius, Lithuania
VLDB 2012 	 38th International Conference on Very Large Databases	Istanbul, Turkey
DATA 2012 	 International Conference on Data Technologies and Applications (DATA)	Rome, Italy
MobiDE 2012 	 11th International ACM Workshop on Data Engineering for Wireless and Mobile Access	Scottsdale, Arizona, USA
VAST 2012 	 2nd Int'l Workshop on Variability-intensive Systems Testing, Validation & Verification	Montreal, Canada
SSDBM 2012 	 24th International Conference on SCIENTIFIC and Statistical Database Management	Chania, Crete, Greece
SSDBM 2012 	 24th International Conference on Scientific and Statistical Database Management	Chania, Crete, Greece
BDAS 2012 	 Bazy Danych - Aplikacje i Systemy	Ustron, Poland
NEDB Summit 2012 	 Fifth Annual New England Database Summit	Cambridge, MA, USA
FlashDB 2012 	 The Second International Workshop on Flash-based Database Systems	Busan, South Korea
MDM 2012 	 13th IEEE International Conference on Mobile Data Management	Bangalore, India
KES-IDT 2012 	 4th KES International Conference on Intelligent Decision Technologies	Gifu, Japan
PODS 2012 	 31st ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems	Scottsdale, Arizona, USA
AIKED 2012 	 11th WSEAS International Conference on  ARTIFICIAL INTELLIGENCE, KNOWLEDGE  ENGINEERING and DATA BASES 	Cambridge. UK
SMDB 2012 	 Seventh International Workshop on Self-Managing Database Systems	Washington DC, USA
DMC 2012 	 The 1st International Workshop on Data Management in the Cloud	Washington DC, USA
DBDBD 2011 	 The Dutch Belgian Database Day	University of Twente, The Netherlands
SIGMOD 2012 	 2012 ACM SIGMOD International Conference on Management of Data	Scottsdale, Arizona, USA
SDMSM 2012 	 ICDE Workshop on Secure Data Management on Smart Phones and Mobile Devices	Washington DC, USA
STIR 2012 	 ICDE 2012 Workshop on Spatio Temporal data Integration and Retrieval	Washington DC, USA
GDM 2012 	 The 3rd International Workshop on Graph Data Management: Techniques and Applications	Washington DC, USA
HIS 2012 	 The 1st International Conference on Health Information Science	Beijing, China
DBKDA 2012 	 The Fourth International Conference on Advances in Databases, Knowledge, and Data Applications	Reunion Island 
ISCI 2012 	 2012 IEEE Symposium on Computers & Informatics	Penang, Malaysia
D-CLOUD 2011 	 The 2011 International Workshop on Data Cloud	Hong Kong
COMNET SI on GreenNets 2011 	 COMNET Special Issue on “Green Communication Networks”	N/A
ACIIDS 2012 	 The 4th Asian Conference on Intelligent Information and Database Systems	Kaohsiung, Taiwan
XLDB 2011 	 5th Extremely Large Databases Conference	Menlo Park, CA
ADC 2012 	 Australasian Database Conference	Melbourne, Australia
HPCDB 2011 	 1st Workshop on High Performance Computing Meets Databases	Seattle, WA, USA
DNIS 2011 	 7th International Workshop on Databases in Networked Information Systems	Aizu-Wakamatsu, Japan
COMAD 2011 	 The 17th International Conference on Management of Data	Bangalore, Karnataka, India
OrdRing 2011 	 First International Workshop on Ordering and Reasoning	Bonn, Germany
DDDM 2011 	 The 5th International Workshop on Domain Driven Data Mining 	Vancouver, Canada
ICDT 2012 	 15th International Conference on Database Theory	Berlin, Germany
DDDM 2011 	 CFP: DDDM 2011 Workshop joint with ICDM 2011, Deadline July 23, Vancouver, Canada	Vancouver, Canada
UOII 2011 	 Workshop User Oriented Information Integration	Riga, Latvia
VDA 2012 	 Conference on Visualization and Data Analysis	Burlingame, CA
IDEAS '11D 2011 	 15th International Database Engineering & Applications Symposium	Lisbon
DOLAP 2011 	 Fourteenth International Workshop on Data Warehousing and Olap	Glasgow, Scotland, UK
CAIA 2011 	 Context Aware Intelligent Assistance	Berlin, Germany
FDML 2011 	 International Symposium on Foundations of Data Mining and Learning	Kaohsiung, Taiwan
Oriental COCOSDA 2011 	  International Conference on Speech Database and Assessments	Hsinchu City, Taiwan
CloudDB 2011 	 Third International Workshop on Cloud Data Management	Glasgow, Scotland, U.K.
QoS-Workshop 2011 	 The 1st International Workshop on Service Oriented QoS Management from Theory to Practice	Beijing China
DBPL 2011 	 The 13th International Symposium on Database Programming Languages	Seattle, USA
DBRank 2011 	 Fifth International Workshop on Ranking in Databases In Conjunction with VLDB 2011	Seattle, WA, USA
VLDS 2011 	 First International Workshop on Searching and Integrating New Web Data Sources	Seattle, WA, United States
QDB 2011 	 9th International Workshop on Quality in Databases	Seattle, WA, USA
CMS 2011 	 2nd International Workshop on Conceptual Modelling of Services	Milan, Italy
EDB 2011 	 The Third International Conference on Emerging Databases - Technologies, Applications and Theory	Incheon, Korea
TPCTC 2011 	 Third TPC Technology Conference on Performance Evaluation & Benchmarking	 Seattle, WA
IDEAS 2011 	 IDEAS'11: 15th International Database Engineering & Applications Symposium	Lisbon
WOD - Summer School 2011 	 WEB OF DATA: Joint RuSSIR/EDBT Summer School 2011	Saint-Petersburg
CIKM 2011 	 20th ACM Conference on Information and Knowledge Management 	Glasgow, Scotland, UK
CIKM 2011 	 20th ACM International Conference on Information and Knowledge Management	Glasgow, Scotland, UK
TC4SP 2011 	 Second International Workshop on Traceability and Compliance of Semi-Structured Processes	Clermont-Ferrand, France
KEOD 2011 	 Int'l Conf. on Knowledge Engineering and Ontology Development	Paris, France
CECIIS 2011 	 Central European Conference on Information and Intelligent Systems	Varazdin, Croatia
SUM 2011 	 Fifth International Conference on Scalable Uncertainty Management	Dayton, Ohio
DBLM 2011 	 International Workshop on Database Technology for Life Sciences and Medicine	Toulouse, France
SDM 2011 	 8th VLDB Workshop on Secure Data Management	Seattle, WA, USA
exploreWeb 2011 	 First International Workshop on Search, Exploration and Navigation of Web Data Sources	Paphos, Cyprus
RSmeetDBs 2011 	 Recommender Systems meet Databases	Toulouse
JISBD 2011 	 XVI Jornadas de Ingeniería del Software y Bases de Datos	A Coruña, Spain
HDMS 2011 	 10th Hellenic Data Management Symposium	Athens, Greece
DocEng 2011 	 ACM Symposium on Document Engineering	Mountain View, CA, USA
TLAD 2011 	 9th International Workshop on Teaching, Learning and Assessment of Databases	Manchester, United Kingdom
Globe 2011 	 4th International Conference on Data Management in Grid and P2P Systems	Toulouse, France
GeoDBIS 2011 	 1st International Workshop on Geometric Objects in Databases and Information Systems	Vienna, Austria
TaPP 2011 	 3rd USENIX Workshop on the Theory and Practice of Provenance	Heraklion, Crete, Greece
Balisage 2011 	 Balisage: The Markup Conference	Montréal, Canada 
DBSocial 2011 	 ACM SIGMOD Workshop on Databases and Social Networks	Athens, Greece
ADBIS 2011 	 Fifteenth East-European Conference on Advances in Databases and Information Systems	Vienna, Austria
GID 2011 	 First ADBIS workshop on GPUs In Databases	Vienna, Austria
DaMoN 2011 	 Seventh International Workshop on Data Management on New Hardware	Athens, Greece
MobiDE 2011 	 10th ACM International Workshop on Data Engineering for Wireless and Mobile Access	Athens, Greece
DBTest 2011 	 4th International Workshop on Testing Database Systems	Athens, Greece
DaWaK 2011 	 13th International Conference on Data Warehousing and Knowledge Discovery	Toulouse, France
SEBD 2011 	 19th Italian Symposium on Advanced Database Systems	Maratea, Italy
IDAR 2011 	 SIGMOD/PODS PhD Workshop on Innovative Database Research	Athens, Greece
DEXA 2011 	 Database and Expert Systems Applications	Toulouse, France
MIMIC 2011 	 Fifth International Workshop on Management and Interaction with Multimodal Information Content	Toulose, France
E-LKR 2011 	 1st International Workshop on Exploiting Large Knowledge Repositories	Toulouse, France
SOTM-EU 2011 	 1st State of the Map - Europe Conference	Vienna, Austria
DALI 2011 	 Data, Logic and Inconsistency	Toulouse, France
IKE 2011 	 The 2011 International Conference on Information and Knowledge Engineering	Las Vegas, Nevada
EIDWT 2011 	 The 2nd International Conference on Emerging Intelligent Data and Web Technologies	Tirana, Albania
SYRCoDIS 2011 	 The Seventh Spring Researchers Colloquium on Databases and Information Systems	Moscow, Russia
Tutorials and Workshops@ECML/PKDD 2011 	 Joint call for  tutorials and workshops ECML/PKDD 2011	Athens, Greece
VLDB 2011 	 The 37th International Conference on  Very Large Data Bases	Seattle, WA
EDA 2011 	 7th French-speaking workshop on Data Warehousing and On-line Analysis	Clermont-Ferrand, France
SSTD 2011 	 International Symposium on Spatial and Temporal Databases	Minneapolis, MN, USA
AMW 2011 	 5th Alberto Mendelzon Workshop on Foundations of Data Management	Santiago, Chile
KDD 2011 	 The 17th ACM SIGKDD Conference on Knowledge Discovery and Data Mining	San Diego, California
EuroVA 2011 	 EuroVis Workshop on Visual Analytics	Bergen, Norway
AMCIS 2011 	 Minitrack: Business Process Management and Innovation	Detroit, USA
BNCOD 2011 	 BNCOD 2011: 28th British National Conference on Databases	Manchester, United Kingdom
SSDBM 2011 	 23rd International Conference on Scientific and Statistical Database Management	Portland, Oregon
USEWOD 2011 	 Workshop on Usage Analysis and the Web of Data	Hyderabad, India
DCNET 2011 	 International Conference on Data Communication Networking (DCNET)	 Seville - Spain
NDM 2011 	 Novel Data Management for High Scalability	Sweden, Sweden
ICEIS 2011 	 13th International Conference on Enterprise Information Systems	Beijing, China
PIS@WorldCist 2017 	 Pervasive Information Systems	Porto Santo, Madeira, Portugal
IJCNN 2017 	 International Joint Conference on Neural Networks	Anchorage, Alaska
Big Data Analytics@IJCNN 2017 	 Special Session: 'Large Datasets and Big Data Analytics: Theory, Methods, and Applications' at IJCNN 2017	Anchorage, Alaska, USA
IJMECH 2016 	 International Journal of Recent advances in Mechanical Engineering 	N/A
AAMAS 2017 	 International Conference on Autonomous Agents and Multiagent Systems 	Sao Paulo, Brazil
IEA/AIE 2017 PGM Track 2017 	 IEA/AIE 2017 - Special Track on Graphical Models: from Theory to Applications	Arras, France
8th ICISA 2017 	 ICISA International Conference on Information Sience and Applications	Macau, China
CAAM - Special Issue 2016 	 Special Issue on Cognitive Architectures for Artificial Minds - Cognitive Systems Research	N/A
ICICDS 2016 	 International Conference on Intelligent Computing and Decision Systems	Hammamet, Tunisia
JARES 2016 	 International Journal of Advance Robotics & Expert Systems	N/A
ECOJ 2016 	 Ecology: An International Journal	N/A
AISC 2017 	 Fifth International Conference on Artificial Intelligence, Soft Computing 	Zurich, Switzerland
IJEL 2016 	 International Journal of Electromagnetics	N/A
ARIN 2016 	 Second International Conference on Artificial Intelligence	Vienna, Austria
ICAISC 2017 	 International Conference on Artificial Intelligence and Soft Computing	Zakopane, Poland
ICCRE 2017 	 2017 IEEE 2nd International Conference on Control and Robotics Engineering (ICCRE 2017)-IEEE Xplore,EI	Bangkok, Thailand
ICCRD 2017 	 The 9th International Conference on Computer Research and Development (ICCRD 2017)-SCOPUS	Ho Chi Minh City, Vietnam
CLOSER 2017 	 7th International Conference on Cloud Computing and Services Science	Porto, Portugal
ISDM@FLAIRS 2017 	 Intelligent Support for Decision Making at FLAIRS-30	Marco Island, Florida
CPAIOR 2017 	 Fourteenth International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming	Padova, Italy
SLIE 2017 	 Semantic, Logics, Information Extraction and AI 	Marco Island (Florida)
UR@FLAIRS30 2017 	 FLAIRS-30 : Uncertain Reasoning (UR) Special Track	Marco Island, Florida, USA
CBR@FLAIRS 2017 	 FLAIRS-30 Special Track on Case-Based Reasoning	Marco Island
RecSys@FLAIRS 2017 	 Recommender Systems Special Track at the International FLAIRS Conference	Marco Island
CPAIOR (2nd CfP) 2017 	 CPAIOR 2017 Second CfP - Integration of AI, OR and CP for optimization	Padova, Italy
IEA/AIE 2017 	 The 30th International Conference on Industrial, Engineering, Other Applications of Applied Intelligent Systems	Arras, France
BDAS 2017 	 13th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow (Cracow), Poland
EACL SRW 2017 	 EACL 2017 Student Research Workshop	Valencia
CogSIMA 2017 	 2017 IEEE Conference on Cognitive and Computational Aspects of Situation Management	Savannah, Georgia, USA
ICMERR 2016 	 International Conference on Mechanical Engineering and Robotics Research - EI Compendex, Scopus, and ISI CPCS	Singapore
ICIST  2017 	 7th International Conference on Information Systems and Technologies	DUBAI
ICAAI 2017 	 International Conference on Advances in Artificial Intelligence -EI Compendex, Scopus, and ISI CPCS	Bangkok, Thailand
ICAIT 2017 	 International Conference on Advances in Information Technology	Katmandu, Nepal
ICBCB - ACM 2017 	 2017 5th International Conference on Bioinformatics and Computational Biology (ICBCB 2017)-Ei, ISI and Scopus	Hong Kong
ICMRE 2017 	 2017 3rd International Conference on Mechatronics and Robotics Engineering (ICMRE 2017)- Springer, Scopus	Paris, France
ICDES 2017 	 2017 Second International Conference on Design Engineering and Science (ICDES 2017)--EI&Scopus	Kortrijk, Belgium
IJCI 2016 	 International Journal on Cybernetics & Informatics	N/A
ICMSCE 2017 	 2017 International Conference on Mechanical Systems and Control Engineering (ICMSCE 2017)--Ei Compendex, Scopus	Abdullah Gül University, Kayseri, Turkey
Call for book chapters ASCMLIP   2017 	 Advances in Soft Computing and Machine Learning in Image Processing (Springer)	N/A
TFML 2017 	 Conference on Theoretical Foundations of Machine Learning 2017	Cracow, Poland
ICMEAE 2017 	 2016 4th International Conference on Mechatronics, Electronics and Automation Engineering (ICMEAE 2017) -Ei&Scopus	Bangkok, Thailand
IEEE-ICIM 2017 	 2017 3rd IEEE International Conference on Information Management (ICIM 2017)--Ei Compendex	Chengdu, China
EI-ICDES 2017 	 2017 Second International Conference on Design Engineering and Science (ICDES 2017)	Kortrijk, Belgium
TIST UI 2017 	 ACM TIST Special Issue on Urban Intelligence	N/A
ICCTD 2017 	 8th International Conference on Computer Technologies and Development-EI,   Scopus, and ISI CPCS	Paris, France
ICICT 2017 	 International Conference on Information and Computer Technologies-Ei,Scopus 	Kanyakumari, India
IEA/AIE NAAD 2017 	 Special Track on Novel Approaches to Anomaly Detection	Arras, France
ICMIP 2017 	 Second International Conference on Multimedia and Image Processing  - IEEE, Ei Compendex	Wuhan, China
IWPR 2017 	 2017 the Second International Workshop on Pattern Recognition (IWPR 2017)--Ei, Scopus and ISI	Singapore
CCEAI 2017 	 2017 International Conference on Control Engineering and Artificial Intelligence (CCEAI 2017)--EI&Scopus	Kuala Lumpur,Malaysia
ICMAA 2017 	 2017 International Conference on Mechanical, Aeronautical and Automotive Engineering (ICMAA 2017)	Malacca, Malaysia
ICCCBDA 2017 	 2nd IEEE International Conference on Cloud Computing and Big Data Analysis -Ei Compendex	Chengdu, China
AIACT 2017 	 2017 International Conference on Artificial Intelligence, Automation and Control Technologies (AIACT 2017)	Wuhan,China
ICBEA 2017 	 2017 International Conference on Biometrics Engineering and Application (ICBEA 2017)--Ei Compendex and Scopus	Hong Kong
ICIAI 2017 	 International Conference on Innovation in Artificial Intelligence -Scopus, Ei Compendex	Singapore
ICSCA 2017 	 6th International Conference on Software and Computer Applications (ICSCA 2017)-Ei Compendex	Bangkok, Thailand
ICMLC - ACM 2017 	 9th International Conference on Machine Learning and Computing	Singapore
EI--AIACT 2017 	 2017 International Conference on Artificial Intelligence, Automation and Control Technologies--Ei & SCOPUS	Wuhan,China
IUI 2017 - Posters and Demos 2017 	 22nd ACM International Conference on Intelligent User Interfaces - Posters and Demos	Limassol, Cyprus
ICCAR 2017 	 2017 3rd IEEE International Conference on Control, Automation and Robotics (ICCAR 2017) - IEEE Xplore and Ei Compendex	Nagoya, Japan
CSMO 2017 	 2017 International Conference on Simulation, Modeling and Optimization (CSMO 2017)--Ei&Scopus	Phuket
ICCAE 2017 	 2017 9th International Conference on Computer and Automation Engineering (ICCAE 2017)-Ei Compendex and Scopus	Sydney, Australia
IJIMS 2015 	 International Journal of Internet Manufacturing and Services	N/A
ISNN 2017 	 Fourteenth International Symposium on Neural Networks	Sapporo, Japan
ICOCB - EI 2017 	 2017 International Conference on Computational Biology (ICOCB 2017)-EI Compendex, Scopus, and ISI CPCS	Jakarta, Indonesia
ICAIL 2017 	  16th International Conference on Artificial Intelligence and Law	London
ICIVC- SPIE 2017 	 2nd International Conference on Image, Vision and Computing (ICIVC 2017)-Ei Compendex and Scopus	Chengdu, China
AURO-DR 2017 	 Autonomous Robots special issue on Distributed Robots: From Fundamentals to Applications	N/A
CCML 2017 	 The 16th China Conference on Machine Learning	Tianjin China
KES-IDT-17 / IS09 (IDT-CMS 2017) 2017 	 Invited Session on Intelligent Decision Technologies for Manned and Unmanned Combat and Mission Systems	Vilamoura, Algarve, Portugal
KES-AMSTA-17 / IS04 (AMAT-CMS 2017) 2017 	 Invited Session on Agent and Multi-Agent Based Technologies in Current and Future Combat and Mission Systems	Vilamoura, Algarve, Portugal
KES IDT DSS 2017 	 KES IDT - Decision Support Systems - Special Session	Vilamoura, Algarve, Portugal
ICSIP-IEEE 2017 	 2nd International Conference on Signal and Image Processing - IEEE	Singapore
ICVR 2017 	 2017 3rd International Conference on Virtual Reality ICVR 2017	Hong kong
ICAIR 2017 	 2017 2nd International Conference on Artificial Intelligence and Robotics (ICAIR 2017)	Prague
ISMIS 2017 	 23rd International Symposium on Methodologies for Intelligent Systems	Warsaw, Poland
ICRV 2017 	 IEEE--2017 3rd International Conference on Robotics and Vision (ICRV 2017)--Ei Compendex and Scopus	Wuhan, China
ACIRS 2017 	 2nd IEEE Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2017)-IEEE Xplore, Ei Compendex	Wuhan, China
MAICS 2017 	 The 28th Modern Artificial Intelligence and Cognitive Science Conference	Fort Wayne, IN
IE 2017 	 13th International Conference on Intelligent Environments (IE’17)	Seoul, Korea
IJCAI 2017 	 International Joint Conference on Artificial Intelligence	Melbourne, Australia
ICSN 2017 	 International Conference on Software Networking2017 	Kuala Lumpur, Malaysia
ICMMR-Ei 2017 	 2017 4th International Conference on Mechanics and Mechatronics Research (ICMMR 2017) - Ei Compendex, Scopus and CPCI	Xi'an, China
WCSE 2017 	 7th International Workshop on Computer Science and Engineering --Scopus & Ei   compendex	Wuhan, China
ICOSE 2017 	 2017 International Conference on Software Engineering (ICOSE 2017) -- EI &Scopus	Beijing,China
IROS 2017 	 IEEE/RSJ International Conference on Intelligent Robots and Systems	Vancouver, Canada
HSI 2017 	 The 10th International Conference on Human System Interaction	Ulsan, Korea
ICINCO 2017 	 International Conference on Informatics in Control, Automation and Robotics	Madrin, Spain
ICMAE 2017 	 2017 The 8th International Conference on Mechanical and Aerospace Engineering (ICMAE 2017)—IEEE and Ei Compendex	Prague, Czech Republic
IDAP  2017 	 International Artificial Intelligence and Data Processing Symposium	 Malatya, Turkey
IEEE--ICSGSC 2017 	 2017 IEEE International Conference on Smart Grid and Smart Cities (ICSGSC 2017)--IEEE Xplore and Ei Compendex	Singapore
TSD 2017 	 20th International Conference on Text, Speech and Dialogue	Prague
BCI for Neurorobotics 2017 	 Brain Computer Interface Systems for Neurorobotics: Methods and Applications	N/A
EPIA 2017 	  EPIA Conference on Artificial Intelligence -- Journal Track	Porto
IEEE--ISCBI 2017 	 ISCBI 2017 (5th International Symposium on Computational and Business Intelligence)-IEEE Xplore and Ei Compendex	Dubai, UAE
ICCSSE 2017 	 2017 3rd International Conference on Control Science and Systems Engineering (ICCSSE 2017)--IEEE, Ei Compendex	Beijing,China
ICRAS 2017 	 2017 International Conference on Robotics and Automation Sciences (ICRAS 2017)--IEEE, Ei Compendex and Scopus	Hong Kong
IEEE ITOEC 2017 	 2017 IEEE 3rd Information Technology and Mechatronics Engineering Conference 	Chongqing
IEEE--ICAVE 2017 	 2017 International Conference on Automotive and Vehicle Engineering (ICAVE 2017)-IEEE Xplore and Ei Compendex	Singapore
ICITE 2017 	 2017 2nd International Conference on Intelligent Transportation Engineering (ICITE 2017)-IEEE Xplore and Ei Compendex	Singapore
ICONIP 2017 	 International Conference on Neural Information Processing	Guangzhou, China
ISAIR 2017 	 The 2nd International Symposium on Artificial Intelligence and Robotics 2017	Kitakyushu, Japan
IUI 2017 	 Intelligent User Interfaces	Limassol, Cyprus
